make,model,market_regions,powertrain,first_year,body_style,origin_country,age_2025,battery_capacity_kWh
Tesla,Model S,Global (US/EU/UK/ME),BEV,2012,Sedan,US,13,98.1
Tesla,Model 3,Global (US/EU/UK/ME/CN),BEV,2017,Sedan,US,8,73.3
Tesla,Model X,Global (US/EU/UK/ME),BEV,2015,SUV,US,10,110.6
Tesla,Model Y,Global (US/EU/UK/ME/CN),BEV,2020,SUV,US,5,61.0
Tesla,Cybertruck,US (limited),BEV,2023,Pickup,US,2,90.5
Nissan,Leaf,Global (EU/UK/US/JP),BEV,2010,Hatchback,JP,15,45.5
Chevrolet,Bolt EV,US/CA (discontinued 2023; returning),BEV,2016,Hatchback,US,9,21.7
Chevrolet,Bolt EUV,US/CA (discontinued 2023),BEV,2021,Crossover,US,4,46.0
Ford,Mustang Mach-E,US/EU/UK/ME,BEV,2020,SUV,US,5,38.0
Ford,F-150 Lightning,US/CA,BEV,2022,Pickup,US,3,41.2
Volkswagen,ID.3,EU/UK,BEV,2020,Hatchback,DE,5,20.6
Volkswagen,ID.4,Global (US/EU/UK/CN),BEV,2020,SUV,DE,5,49.1
Volkswagen,ID. Buzz,EU/UK/US,BEV,2022,Van,DE,3,45.0
Skoda,Enyaq iV,EU/UK,BEV,2020,SUV,CZ,5,26.4
Audi,Q4 e-tron,EU/UK/US,BEV,2021,SUV,DE,4,25.5
Porsche,Taycan,Global (EU/UK/US/ME/CN),BEV,2019,Sedan/Wagon,DE,6,25.5
Cupra,Born,EU/UK,BEV,2021,Hatchback,ES,4,29.1
Hyundai,Kona Electric,Global (EU/UK/US/ME),BEV,2018,SUV,KR,7,58.4
Hyundai,IONIQ 5,Global (EU/UK/US/ME),BEV,2021,Crossover,KR,4,55.1
Hyundai,IONIQ 6,Global (EU/UK/US/ME),BEV,2022,Sedan,KR,3,50.2
Kia,EV6,Global (EU/UK/US/ME),BEV,2021,Crossover,KR,4,38.4
Kia,EV9,Global (EU/UK/US/ME),BEV,2023,SUV (3-row),KR,2,24.2
Genesis,GV60,EU/UK/US/ME,BEV,2022,Crossover,KR,3,28.8
BMW,i4,Global (EU/UK/US),BEV,2021,Sedan,DE,4,31.0
BMW,iX,Global (EU/UK/US),BEV,2021,SUV,DE,4,33.7
BMW,i5,Global (EU/UK/US),BEV,2023,Sedan,DE,2,43.6
Mercedes-Benz,EQA,EU/UK,BEV,2021,SUV,DE,4,26.0
Mercedes-Benz,EQB,EU/UK/US,BEV,2021,SUV,DE,4,35.4
Mercedes-Benz,EQE,EU/UK/US,BEV,2022,Sedan/SUV,DE,3,37.8
Mercedes-Benz,EQS,Global (EU/UK/US/ME),BEV,2021,Sedan/SUV,DE,4,21.4
Volvo,XC40 Recharge,EU/UK/US,BEV,2020,SUV,SE,5,38.2
Volvo,C40 Recharge,EU/UK/US,BEV,2021,Crossover,SE,4,25.1
Volvo,EX30,EU/UK/ME,BEV,2023,SUV,SE,2,22.0
Volvo,EX90,EU/US (rolling out),BEV,2024,SUV,SE,1,48.5
Polestar,2,Global (EU/UK/US),BEV,2019,Liftback,SE/CN,6,49.0
Polestar,3,EU/US/UK (2024-2025),BEV,2023,SUV,SE/CN,2,44.3
Peugeot,e-208,EU/UK,BEV,2019,Hatchback,FR,6,29.1
Peugeot,e-2008,EU/UK,BEV,2020,SUV,FR,5,22.9
Opel,Corsa-e,EU/UK,BEV,2020,Hatchback,DE,5,40.5
Citroën,ë-C4,EU/UK,BEV,2020,Crossover,FR,5,33.2
Fiat,500e,EU/US (reintroduced),BEV,2020,Hatchback,IT,5,23.7
Renault,Megane E-Tech Electric,EU/UK,BEV,2022,Hatchback,FR,3,34.9
Dacia,Spring,EU/UK,BEV,2021,City car,RO/CN,4,21.0
Toyota,bZ4X,Global (EU/UK/US/JP),BEV,2022,SUV,JP,3,47.3
Subaru,Solterra,Global (EU/UK/US/JP),BEV,2022,SUV,JP,3,27.8
Honda,e,EU/JP,BEV,2019,City car,JP,6,39.9
Honda,e:Ny1,EU/UK,BEV,2023,SUV,JP,2,29.4
